Floor,FloorAll,Area,City,Price,Link,PriceBySquare
1,17,40,Красково,23e3,https://www.avito.ru/kraskovo/kvartiry/1-k_kvartira_40_m_117_et._520480334,575
4,17,38,Одинцово,24e3,https://www.avito.ru/odintsovo/kvartiry/1-k_kvartira_38_m_417_et._1144875882,631.578947368421
5,14,40,Домодедово,19900,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_40_m_514_et._1219267958,497.5
7,9,32,Химки,27e3,https://www.avito.ru/himki/kvartiry/1-k_kvartira_32_m_79_et._1097545799,843.75
5,9,35,Подольск,18e3,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_35_m_59_et._961625976,514.2857142857143
5,16,36,Домодедово,24e3,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_36_m_516_et._1196207000,666.6666666666666
2,5,30,Подольск,16e3,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_30_m_25_et._928072189,533.3333333333334
12,17,45,Балашиха,19e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_45_m_1217_et._12939074,422.22222222222223
5,8,36,Звенигород,2e4,https://www.avito.ru/zvenigorod/kvartiry/1-k_kvartira_36_m_58_et._567435912,555.5555555555555
4,17,40,Балашиха,22e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_40_m_417_et._928971749,550
12,13,50,Ногинск,21e3,https://www.avito.ru/noginsk/kvartiry/1-k_kvartira_50_m_1213_et._701943303,420
17,18,39,Красногорск,25e3,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k_kvartira_39_m_1718_et._1092753619,641.025641025641
10,15,41,Домодедово,2e4,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_41_m_1015_et._792885545,487.8048780487805
8,9,37,Одинцово,24e3,https://www.avito.ru/odintsovo/kvartiry/1-k_kvartira_37_m_89_et._1011551689,648.6486486486486
5,5,33,Домодедово,2e4,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_33_m_55_et._661322186,606.060606060606
3,5,40,Домодедово,15e3,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_40_m_35_et._937363117,375
4,5,36,Звенигород,15e3,https://www.avito.ru/zvenigorod/kvartiry/1-k_kvartira_36_m_45_et._571837059,416.6666666666667
2,5,28,Серпухов,12e3,https://www.avito.ru/serpuhov/kvartiry/1-k_kvartira_28_m_25_et._1009938291,428.57142857142856
7,11,40,Ногинск,18e3,https://www.avito.ru/noginsk/kvartiry/1-k_kvartira_40_m_711_et._1123508277,450
9,12,48,Мытищи,25e3,https://www.avito.ru/mytischi/kvartiry/1-k_kvartira_48_m_912_et._1036737604,520.8333333333334
3,17,43,Королев,2e4,https://www.avito.ru/korolev/kvartiry/1-k_kvartira_43_m_317_et._1105340183,465.1162790697674
3,20,30,Красногорск,23e3,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k_kvartira_30_m_320_et._968118810,766.6666666666666
5,15,43.8,Звенигород,25e3,https://www.avito.ru/zvenigorod/kvartiry/1-k_kvartira_43.8_m_515_et._805754455,570.7762557077626
5,10,38,Электросталь,17e3,https://www.avito.ru/elektrostal/kvartiry/1-k_kvartira_38_m_510_et._1156776261,447.36842105263156
1,5,30,Орехово-Зуево,1e4,https://www.avito.ru/orehovo-zuevo/kvartiry/1-k_kvartira_30_m_15_et._1005881773,333.3333333333333
9,16,41,Домодедово,19900,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_41_m_916_et._1201264181,485.3658536585366
6,17,42,Подольск,21e3,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_42_m_617_et._1124092724,500
5,14,47,Балашиха,2e4,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_47_m_514_et._971399040,425.531914893617
2,25,30,Балашиха,21e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_30_m_225_et._937309290,700
2,5,32,Красноармейск,14e3,https://www.avito.ru/krasnoarmeysk/kvartiry/1-k_kvartira_32_m_25_et._1002655992,437.5
7,17,38,Балашиха,18e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_38_m_717_et._1044637048,473.6842105263158
5,5,32,Авсюнино,11e3,https://www.avito.ru/avsyunino/kvartiry/1-k_kvartira_32_m_55_et._614048073,343.75
6,17,42,Подольск,18e3,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_42_m_617_et._989884006,428.57142857142856
13,17,39,Подольск,15e3,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_39_m_1317_et._897562472,384.61538461538464
6,16,34.2,Ватутинки,22e3,https://www.avito.ru/vatutinki/kvartiry/1-k_kvartira_34.2_m_616_et._868727095,643.2748538011696
8,25,38,Красногорск,22e3,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k_kvartira_38_m_825_et._937077826,578.9473684210526
3,9,34,Электросталь,15e3,https://www.avito.ru/elektrostal/kvartiry/1-k_kvartira_34_m_39_et._1206605116,441.1764705882353
1,14,56.7,Дубовая Роща,17500,https://www.avito.ru/dubovaya_roscha/kvartiry/1-k_kvartira_56.7_m_114_et._806131619,308.641975308642
4,10,42,Электросталь,2e4,https://www.avito.ru/elektrostal/kvartiry/1-k_kvartira_42_m_410_et._862309607,476.1904761904762
16,19,49,Красногорск,34e3,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k_kvartira_49_m_1619_et._962227682,693.8775510204082
42,44,30,Красногорск,3e4,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k_kvartira_30_m_4244_et._943878999,1e3
2,2,42,Фрязино,13800,https://www.avito.ru/fryazino/kvartiry/1-k_kvartira_42_m_22_et._1202439957,328.57142857142856
8,17,41,Ногинск,19e3,https://www.avito.ru/noginsk/kvartiry/1-k_kvartira_41_m_817_et._962303648,463.4146341463415
9,10,40,Ступино,16e3,https://www.avito.ru/stupino/kvartiry/1-k_kvartira_40_m_910_et._1132244267,400
6,22,56,Балашиха,22e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_56_m_622_et._431634602,392.85714285714283
3,25,43,Королев,3e4,https://www.avito.ru/korolev/kvartiry/1-k_kvartira_43_m_325_et._987177431,697.6744186046511
1,5,36.6,Люберцы,18e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_36.6_m_15_et._829005864,491.8032786885246
6,23,40,Красногорск,23e3,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k_kvartira_40_m_623_et._1086837863,575
15,15,42,Одинцово,36e3,https://www.avito.ru/odintsovo/kvartiry/1-k_kvartira_42_m_1515_et._881417032,857.1428571428571
2,5,33,Чехов,15e3,https://www.avito.ru/moskovskaya_oblast_chehov/kvartiry/1-k_kvartira_33_m_25_et._1035014898,454.54545454545456
9,17,38,Красногорск,3e4,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k_kvartira_38_m_917_et._515174797,789.4736842105264
13,16,53,Сергиев Посад,18e3,https://www.avito.ru/sergiev_posad/kvartiry/1-k_kvartira_53_m_1316_et._1198474126,339.62264150943395
2,2,33,Домодедово,18e3,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_33_m_22_et._473449107,545.4545454545455
8,17,42,Мытищи,25e3,https://www.avito.ru/mytischi/kvartiry/1-k_kvartira_42_m_817_et._1209612756,595.2380952380952
1,9,55,Жуковский,2e4,https://www.avito.ru/zhukovskiy/kvartiry/1-k_kvartira_55_m_19_et._1040127803,363.6363636363636
3,25,45,Люберцы,2e4,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_45_m_325_et._1109710993,444.44444444444446
9,17,38,Железнодорожный,2e4,https://www.avito.ru/moskovskaya_oblast_zheleznodorozhnyy/kvartiry/1-k_kvartira_38_m_917_et._1094957930,526.3157894736842
2,2,50,Ильинский,16e3,https://www.avito.ru/moskovskaya_oblast_ilinskiy/kvartiry/1-k_kvartira_50_m_22_et._929066925,320
3,14,45,Лобня,25e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_45_m_314_et._642640607,555.5555555555555
8,20,40,Одинцово,29999,https://www.avito.ru/odintsovo/kvartiry/1-k_kvartira_40_m_820_et._954956636,749.975
2,4,38,Звенигород,15e3,https://www.avito.ru/zvenigorod/kvartiry/1-k_kvartira_38_m_24_et._1182430991,394.7368421052632
21,22,37,Раменское,23e3,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_37_m_2122_et._604289697,621.6216216216217
5,15,41,Мытищи,24e3,https://www.avito.ru/mytischi/kvartiry/1-k_kvartira_41_m_515_et._985614545,585.3658536585366
8,14,42,Видное,27e3,https://www.avito.ru/vidnoe/kvartiry/1-k_kvartira_42_m_814_et._846997142,642.8571428571429
1,5,32.9,Чехов,13500,https://www.avito.ru/moskovskaya_oblast_chehov/kvartiry/1-k_kvartira_32.9_m_15_et._1080402480,410.3343465045593
1,5,38,Солнечногорск,18e3,https://www.avito.ru/solnechnogorsk/kvartiry/1-k_kvartira_38_m_15_et._1173873496,473.6842105263158
4,4,35,Серпухов,1e4,https://www.avito.ru/serpuhov/kvartiry/1-k_kvartira_35_m_44_et._1220519731,285.7142857142857
14,17,46,Балашиха,28e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_46_m_1417_et._979857296,608.695652173913
9,17,42,Балашиха,25e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_42_m_917_et._471503442,595.2380952380952
1,10,40,Королев,21e3,https://www.avito.ru/korolev/kvartiry/1-k_kvartira_40_m_110_et._922371676,525
16,17,40,Видное,22e3,https://www.avito.ru/vidnoe/kvartiry/1-k_kvartira_40_m_1617_et._795687969,550
1,1,41.9,Можайск,15e3,https://www.avito.ru/mozhaysk/kvartiry/1-k_kvartira_41.9_m_11_et._1211252467,357.99522673031026
12,12,33,Королев,19e3,https://www.avito.ru/korolev/kvartiry/1-k_kvartira_33_m_1212_et._1048603202,575.7575757575758
10,17,40,Подольск,18e3,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_40_m_1017_et._773676127,450
2,4,34,Пушкино,15e3,https://www.avito.ru/pushkino/kvartiry/1-k_kvartira_34_m_24_et._1094625630,441.1764705882353
2,17,52,Мытищи,31e3,https://www.avito.ru/mytischi/kvartiry/1-k_kvartira_52_m_217_et._1047097509,596.1538461538462
3,5,33,Наро-Фоминск,17e3,https://www.avito.ru/naro-fominsk/kvartiry/1-k_kvartira_33_m_35_et._1015274230,515.1515151515151
11,14,36,Балашиха,18e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_36_m_1114_et._1164034447,500
12,25,49,Балашиха,25e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_49_m_1225_et._1136797026,510.2040816326531
6,17,35,Лобня,25e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_35_m_617_et._879994233,714.2857142857143
2,5,37,Томилино,18e3,https://www.avito.ru/tomilino/kvartiry/1-k_kvartira_37_m_25_et._1001977002,486.4864864864865
1,2,42,Раменское,17e3,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_42_m_12_et._1223440031,404.76190476190476
2,14,50,Ивантеевка,21e3,https://www.avito.ru/moskovskaya_oblast_ivanteevka/kvartiry/1-k_kvartira_50_m_214_et._1074383318,420
12,17,37,Мытищи,28e3,https://www.avito.ru/mytischi/kvartiry/1-k_kvartira_37_m_1217_et._931951154,756.7567567567568
2,5,30,Раменское,18e3,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_30_m_25_et._844896545,600
2,17,45,Пушкино,22e3,https://www.avito.ru/pushkino/kvartiry/1-k_kvartira_45_m_217_et._1181942263,488.8888888888889
14,17,42,Лобня,35e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_42_m_1417_et._656960622,833.3333333333334
13,16,36.8,Щёлково,15e3,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_36.8_m_1316_et._1143788391,407.60869565217394
7,16,35,Королев,17e3,https://www.avito.ru/korolev/kvartiry/1-k_kvartira_35_m_716_et._1007338774,485.7142857142857
3,9,32,Электросталь,13e3,https://www.avito.ru/elektrostal/kvartiry/1-k_kvartira_32_m_39_et._1168828479,406.25
5,16,41,Подольск,2e4,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_41_m_516_et._834529991,487.8048780487805
11,17,37,Люберцы,18e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_37_m_1117_et._1030701356,486.4864864864865
16,17,45,Ступино,25e3,https://www.avito.ru/stupino/kvartiry/1-k_kvartira_45_m_1617_et._618550656,555.5555555555555
21,22,50,Раменское,2e4,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_50_m_2122_et._1124956585,400
8,25,48,Железнодорожный,23e3,https://www.avito.ru/moskovskaya_oblast_zheleznodorozhnyy/kvartiry/1-k_kvartira_48_m_825_et._1027121630,479.1666666666667
14,17,47,Видное,26e3,https://www.avito.ru/vidnoe/kvartiry/1-k_kvartira_47_m_1417_et._1025272517,553.1914893617021
8,17,39,Подольск,18e3,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_39_m_817_et._1128975989,461.53846153846155
9,18,45,Лобня,25e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_45_m_918_et._1060824264,555.5555555555555
7,17,41,Лобня,25e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_41_m_717_et._1143248092,609.7560975609756
9,9,32,Коломна,14e3,https://www.avito.ru/kolomna/kvartiry/1-k_kvartira_32_m_99_et._875194864,437.5
1,5,36,Серпухов,12e3,https://www.avito.ru/serpuhov/kvartiry/1-k_kvartira_36_m_15_et._717292235,333.3333333333333
11,12,37,Щёлково,15e3,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_37_m_1112_et._1132247622,405.4054054054054
5,21,44,Железнодорожный,2e4,https://www.avito.ru/moskovskaya_oblast_zheleznodorozhnyy/kvartiry/1-k_kvartira_44_m_521_et._1209075448,454.54545454545456
5,5,22,Троицк,18e3,https://www.avito.ru/moskovskaya_oblast_troitsk/kvartiry/1-k_kvartira_22_m_55_et._1090869296,818.1818181818181
1,5,31,Подольск,15e3,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_31_m_15_et._1001447204,483.8709677419355
2,16,43.9,Щёлково,19e3,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_43.9_m_216_et._1075271479,432.80182232346243
1,10,44,Щёлково,18e3,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_44_m_110_et._793275659,409.09090909090907
2,3,30,Ступино,12e3,https://www.avito.ru/stupino/kvartiry/1-k_kvartira_30_m_23_et._712591161,400
9,9,40,Ивантеевка,16e3,https://www.avito.ru/moskovskaya_oblast_ivanteevka/kvartiry/1-k_kvartira_40_m_99_et._1207139517,400
3,9,35,Орехово-Зуево,12e3,https://www.avito.ru/orehovo-zuevo/kvartiry/1-k_kvartira_35_m_39_et._1024771046,342.85714285714283
1,17,40,Железнодорожный,23e3,https://www.avito.ru/moskovskaya_oblast_zheleznodorozhnyy/kvartiry/1-k_kvartira_40_m_117_et._244151444,575
1,3,53,Дубна,18e3,https://www.avito.ru/moskovskaya_oblast_dubna/kvartiry/1-k_kvartira_53_m_13_et._1050342682,339.62264150943395
20,24,47,Химки,35e3,https://www.avito.ru/himki/kvartiry/1-k_kvartira_47_m_2024_et._472177011,744.6808510638298
5,18,50,Раменское,31e3,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_50_m_518_et._579586456,620
4,9,40,Подольск,2e4,https://www.avito.ru/podolsk/kvartiry/1-k_kvartira_40_m_49_et._1204011499,500
3,5,30,Раменское,17e3,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_30_m_35_et._1130467026,566.6666666666666
4,5,32,Электросталь,12e3,https://www.avito.ru/elektrostal/kvartiry/1-k_kvartira_32_m_45_et._940996611,375
5,17,43,Одинцово,27e3,https://www.avito.ru/odintsovo/kvartiry/1-k_kvartira_43_m_517_et._975668915,627.9069767441861
14,14,40,Щёлково,2e4,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_40_m_1414_et._1197480257,500
14,17,40,Раменское,21e3,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_40_m_1417_et._1110528693,525
9,15,45,Домодедово,21e3,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_45_m_915_et._1200498543,466.6666666666667
5,5,20,Химки,23e3,https://www.avito.ru/himki/kvartiry/1-k_kvartira_20_m_55_et._900342050,1150
16,19,46,Долгопрудный,26e3,https://www.avito.ru/dolgoprudnyy/kvartiry/1-k_kvartira_46_m_1619_et._985708728,565.2173913043479
1,5,40,Краснознаменск,18e3,https://www.avito.ru/moskovskaya_oblast_krasnoznamensk/kvartiry/1-k_kvartira_40_m_15_et._1190346583,450
5,5,40,Орехово-Зуево,11e3,https://www.avito.ru/orehovo-zuevo/kvartiry/1-k_kvartira_40_m_55_et._1072797678,275
3,3,35,Пушкино,13e3,https://www.avito.ru/pushkino/kvartiry/1-k_kvartira_35_m_33_et._998050489,371.42857142857144
1,5,34,Люберцы,18e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_34_m_15_et._1137591364,529.4117647058823
5,9,32,Ногинск,15e3,https://www.avito.ru/noginsk/kvartiry/1-k_kvartira_32_m_59_et._691182490,468.75
8,10,43,Королев,18e3,https://www.avito.ru/korolev/kvartiry/1-k_kvartira_43_m_810_et._756625706,418.6046511627907
3,14,50,Апрелевка,22e3,https://www.avito.ru/aprelevka/kvartiry/1-k_kvartira_50_m_314_et._971774263,440
4,17,42,Котельники,35e3,https://www.avito.ru/kotelniki/kvartiry/1-k_kvartira_42_m_417_et._1012560607,833.3333333333334
5,5,30,Шатура,11e3,https://www.avito.ru/shatura/kvartiry/1-k_kvartira_30_m_55_et._963557442,366.6666666666667
7,9,30,Клин,13e3,https://www.avito.ru/klin/kvartiry/1-k_kvartira_30_m_79_et._963297264,433.3333333333333
4,5,33,Чехов,15e3,https://www.avito.ru/moskovskaya_oblast_chehov/kvartiry/1-k_kvartira_33_m_45_et._1132431181,454.54545454545456
3,10,46,Жуковский,25e3,https://www.avito.ru/zhukovskiy/kvartiry/1-k_kvartira_46_m_310_et._1067568415,543.4782608695652
3,20,33,Люберцы,25e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_33_m_320_et._1111687978,757.5757575757576
10,14,42,Домодедово,25e3,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_42_m_1014_et._1213558485,595.2380952380952
2,9,29,Лыткарино,15e3,https://www.avito.ru/lytkarino/kvartiry/1-k_kvartira_29_m_29_et._1153832159,517.2413793103449
14,17,39.5,Железнодорожный,17e3,https://www.avito.ru/moskovskaya_oblast_zheleznodorozhnyy/kvartiry/1-k_kvartira_39.5_m_1417_et._1064675806,430.37974683544303
1,4,36,Клин,14e3,https://www.avito.ru/klin/kvartiry/1-k_kvartira_36_m_14_et._1054275186,388.8888888888889
4,5,32,Павловский Посад,13e3,https://www.avito.ru/pavlovskiy_posad/kvartiry/1-k_kvartira_32_m_45_et._1017392887,406.25
5,9,35,Фрязино,16e3,https://www.avito.ru/fryazino/kvartiry/1-k_kvartira_35_m_59_et._1025127411,457.14285714285717
1,5,36,Видное,25e3,https://www.avito.ru/vidnoe/kvartiry/1-k_kvartira_36_m_15_et._607386513,694.4444444444445
2,10,42,Красноармейск,1e4,https://www.avito.ru/krasnoarmeysk/kvartiry/1-k_kvartira_42_m_210_et._1077580713,238.0952380952381
